Method,Time (ms),Memory (KiB),File Size (KiB),Offset (KiB),Insert Size (KiB),Chunk Size (KiB)
smartfiles,2.073269,4.000,4880.000,96.000,4.000,4.000
unbuffered,12.123666,4788.000,4880.000,96.000,4.000,4.000
buffered,10.558843,8.000,4880.000,96.000,4.000,4.000
fallocate,2.569719,4.000,4880.000,96.000,4.000,4.000
smartfiles,1.766209,4.000,4880.000,96.000,4.000,4.000
unbuffered,11.706383,4788.000,4880.000,96.000,4.000,4.000
buffered,10.475317,8.000,4880.000,96.000,4.000,4.000
fallocate,2.425433,4.000,4880.000,96.000,4.000,4.000
smartfiles,1.800325,4.000,4880.000,96.000,4.000,4.000
unbuffered,94.489847,4792.000,4880.000,96.000,8.000,4.000
buffered,93.824876,12.000,4880.000,96.000,8.000,4.000
fallocate,3.035125,8.000,4880.000,96.000,8.000,4.000
smartfiles,2.531148,8.000,4880.000,96.000,8.000,4.000
unbuffered,84.378269,4880.000,4880.000,96.000,96.000,4.000
buffered,81.770497,100.000,4880.000,96.000,96.000,4.000
fallocate,3.651108,96.000,4880.000,96.000,96.000,4.000
smartfiles,16.413988,96.000,4880.000,96.000,96.000,4.000
unbuffered,106.673223,5764.000,4880.000,96.000,980.000,4.000
buffered,105.968129,984.000,4880.000,96.000,980.000,4.000
fallocate,21.916577,980.000,4880.000,96.000,980.000,4.000
smartfiles,47.469322,980.000,4880.000,96.000,980.000,4.000
unbuffered,261.780833,14552.000,4880.000,96.000,9768.000,4.000
buffered,248.547754,9772.000,4880.000,96.000,9768.000,4.000
fallocate,177.694996,9768.000,4880.000,96.000,9768.000,4.000
smartfiles,527.385171,9768.000,4880.000,96.000,9768.000,4.000
unbuffered,2118.563475,102444.000,4880.000,96.000,97660.000,4.000
buffered,1758.711573,97664.000,4880.000,96.000,97660.000,4.000
fallocate,1663.584243,97660.000,4880.000,96.000,97660.000,4.000
smartfiles,3697.850241,97660.000,4880.000,96.000,97660.000,4.000
unbuffered,1779.759693,981360.000,4880.000,96.000,976576.000,4.000
buffered,11272.564965,976580.000,4880.000,96.000,976576.000,4.000
fallocate,11431.049773,976576.000,4880.000,96.000,976576.000,4.000
smartfiles,20331.166400,976576.000,4880.000,96.000,976576.000,4.000
unbuffered,114.440693,3904.000,4880.000,980.000,4.000,4.000
buffered,90.208611,8.000,4880.000,980.000,4.000,4.000
fallocate,2.801683,4.000,4880.000,980.000,4.000,4.000
smartfiles,2.438570,4.000,4880.000,980.000,4.000,4.000
unbuffered,75.668973,3904.000,4880.000,980.000,4.000,4.000
buffered,74.880858,8.000,4880.000,980.000,4.000,4.000
fallocate,21.057976,4.000,4880.000,980.000,4.000,4.000
smartfiles,2.344167,4.000,4880.000,980.000,4.000,4.000
unbuffered,80.446189,3904.000,4880.000,980.000,4.000,4.000
buffered,76.078841,8.000,4880.000,980.000,4.000,4.000
fallocate,2.641903,4.000,4880.000,980.000,4.000,4.000
smartfiles,2.321014,4.000,4880.000,980.000,4.000,4.000
unbuffered,71.102324,3908.000,4880.000,980.000,8.000,4.000
buffered,75.461975,12.000,4880.000,980.000,8.000,4.000
fallocate,18.018477,8.000,4880.000,980.000,8.000,4.000
smartfiles,2.683035,8.000,4880.000,980.000,8.000,4.000
unbuffered,78.106670,3996.000,4880.000,980.000,96.000,4.000
buffered,78.306279,100.000,4880.000,980.000,96.000,4.000
fallocate,19.572839,96.000,4880.000,980.000,96.000,4.000
smartfiles,3.588342,96.000,4880.000,980.000,96.000,4.000
unbuffered,96.440165,4880.000,4880.000,980.000,980.000,4.000
buffered,93.734698,984.000,4880.000,980.000,980.000,4.000
fallocate,23.705808,980.000,4880.000,980.000,980.000,4.000
smartfiles,65.210487,980.000,4880.000,980.000,980.000,4.000
unbuffered,265.160430,13668.000,4880.000,980.000,9768.000,4.000
buffered,249.551025,9772.000,4880.000,980.000,9768.000,4.000
fallocate,189.269691,9768.000,4880.000,980.000,9768.000,4.000
smartfiles,586.025988,9768.000,4880.000,980.000,9768.000,4.000
unbuffered,216.714079,101560.000,4880.000,980.000,97660.000,4.000
buffered,195.596227,97664.000,4880.000,980.000,97660.000,4.000
fallocate,206.702334,97660.000,4880.000,980.000,97660.000,4.000
smartfiles,3412.331855,97660.000,4880.000,980.000,97660.000,4.000
unbuffered,6052.171657,980476.000,4880.000,980.000,976576.000,4.000
buffered,3285.710906,976580.000,4880.000,980.000,976576.000,4.000
fallocate,11989.272502,976576.000,4880.000,980.000,976576.000,4.000
smartfiles,35407.974925,976576.000,4880.000,980.000,976576.000,4.000
unbuffered,608.644905,9764.000,9764.000,4.000,4.000,4.000
buffered,612.906259,8.000,9764.000,4.000,4.000,4.000
fallocate,5.090320,4.000,9764.000,4.000,4.000,4.000
smartfiles,20.098443,4.000,9764.000,4.000,4.000,4.000
unbuffered,1326.585151,9764.000,9764.000,4.000,4.000,4.000
buffered,1437.396379,8.000,9764.000,4.000,4.000,4.000
fallocate,34.409477,4.000,9764.000,4.000,4.000,4.000
smartfiles,3.119937,4.000,9764.000,4.000,4.000,4.000
unbuffered,25.580922,9764.000,9764.000,4.000,4.000,4.000
buffered,21.020355,8.000,9764.000,4.000,4.000,4.000
fallocate,3.495815,4.000,9764.000,4.000,4.000,4.000
smartfiles,2.585915,4.000,9764.000,4.000,4.000,4.000
unbuffered,22.502589,9768.000,9764.000,4.000,8.000,4.000
buffered,22.344320,12.000,9764.000,4.000,8.000,4.000
fallocate,3.969182,8.000,9764.000,4.000,8.000,4.000
smartfiles,1.958394,8.000,9764.000,4.000,8.000,4.000
unbuffered,22.894745,9856.000,9764.000,4.000,96.000,4.000
buffered,19.923733,100.000,9764.000,4.000,96.000,4.000
fallocate,3.820444,96.000,9764.000,4.000,96.000,4.000
smartfiles,2.708340,96.000,9764.000,4.000,96.000,4.000
unbuffered,24.776505,10740.000,9764.000,4.000,980.000,4.000
buffered,22.482181,984.000,9764.000,4.000,980.000,4.000
fallocate,6.590071,980.000,9764.000,4.000,980.000,4.000
smartfiles,14.800842,980.000,9764.000,4.000,980.000,4.000
unbuffered,46.431708,19528.000,9764.000,4.000,9768.000,4.000
buffered,39.698058,9772.000,9764.000,4.000,9768.000,4.000
fallocate,23.860515,9768.000,9764.000,4.000,9768.000,4.000
smartfiles,135.961285,9768.000,9764.000,4.000,9768.000,4.000
unbuffered,226.983716,107420.000,9764.000,4.000,97660.000,4.000
buffered,225.802527,97664.000,9764.000,4.000,97660.000,4.000
fallocate,199.934537,97660.000,9764.000,4.000,97660.000,4.000
smartfiles,1571.282084,97660.000,9764.000,4.000,97660.000,4.000
unbuffered,6902.364982,986336.000,9764.000,4.000,976576.000,4.000
buffered,4951.788814,976580.000,9764.000,4.000,976576.000,4.000
fallocate,10520.311941,976576.000,9764.000,4.000,976576.000,4.000
smartfiles,21056.632640,976576.000,9764.000,4.000,976576.000,4.000
unbuffered,189.090661,9764.000,9764.000,4.000,4.000,4.000
buffered,179.260597,8.000,9764.000,4.000,4.000,4.000
fallocate,4.619293,4.000,9764.000,4.000,4.000,4.000
smartfiles,2.480017,4.000,9764.000,4.000,4.000,4.000
unbuffered,172.733834,9764.000,9764.000,4.000,4.000,4.000
buffered,190.676993,8.000,9764.000,4.000,4.000,4.000
fallocate,4.745367,4.000,9764.000,4.000,4.000,4.000
smartfiles,17.811346,4.000,9764.000,4.000,4.000,4.000
unbuffered,190.736072,9764.000,9764.000,4.000,4.000,4.000
buffered,175.822057,8.000,9764.000,4.000,4.000,4.000
fallocate,4.143008,4.000,9764.000,4.000,4.000,4.000
smartfiles,3.210827,4.000,9764.000,4.000,4.000,4.000
unbuffered,208.985881,9768.000,9764.000,4.000,8.000,4.000
buffered,216.506937,12.000,9764.000,4.000,8.000,4.000
fallocate,4.419121,8.000,9764.000,4.000,8.000,4.000
smartfiles,2.437853,8.000,9764.000,4.000,8.000,4.000
unbuffered,42.062756,9856.000,9764.000,4.000,96.000,4.000
buffered,23.254166,100.000,9764.000,4.000,96.000,4.000
fallocate,5.033945,96.000,9764.000,4.000,96.000,4.000
smartfiles,3.285034,96.000,9764.000,4.000,96.000,4.000
unbuffered,24.019716,10740.000,9764.000,4.000,980.000,4.000
buffered,22.896734,984.000,9764.000,4.000,980.000,4.000
fallocate,6.795449,980.000,9764.000,4.000,980.000,4.000
smartfiles,16.389529,980.000,9764.000,4.000,980.000,4.000
unbuffered,42.173519,19528.000,9764.000,4.000,9768.000,4.000
buffered,41.604234,9772.000,9764.000,4.000,9768.000,4.000
fallocate,23.001678,9768.000,9764.000,4.000,9768.000,4.000
smartfiles,145.148349,9768.000,9764.000,4.000,9768.000,4.000
unbuffered,232.505793,107420.000,9764.000,4.000,97660.000,4.000
buffered,211.618224,97664.000,9764.000,4.000,97660.000,4.000
fallocate,198.409155,97660.000,9764.000,4.000,97660.000,4.000
smartfiles,1568.677970,97660.000,9764.000,4.000,97660.000,4.000
unbuffered,8246.678947,986336.000,9764.000,4.000,976576.000,4.000
buffered,7400.246216,976580.000,9764.000,4.000,976576.000,4.000
fallocate,8215.967445,976576.000,9764.000,4.000,976576.000,4.000
smartfiles,18294.750042,976576.000,9764.000,4.000,976576.000,4.000
unbuffered,187.716963,9760.000,9764.000,8.000,4.000,4.000
buffered,207.147927,8.000,9764.000,8.000,4.000,4.000
fallocate,4.760292,4.000,9764.000,8.000,4.000,4.000
smartfiles,2.443646,4.000,9764.000,8.000,4.000,4.000
unbuffered,214.057664,9760.000,9764.000,8.000,4.000,4.000
buffered,210.635850,8.000,9764.000,8.000,4.000,4.000
fallocate,21.588580,4.000,9764.000,8.000,4.000,4.000
smartfiles,2.859734,4.000,9764.000,8.000,4.000,4.000
unbuffered,253.147489,9760.000,9764.000,8.000,4.000,4.000
buffered,186.360789,8.000,9764.000,8.000,4.000,4.000
fallocate,4.651255,4.000,9764.000,8.000,4.000,4.000
smartfiles,19.701641,4.000,9764.000,8.000,4.000,4.000
unbuffered,165.003942,9764.000,9764.000,8.000,8.000,4.000
buffered,183.276110,12.000,9764.000,8.000,8.000,4.000
fallocate,4.611429,8.000,9764.000,8.000,8.000,4.000
smartfiles,2.523684,8.000,9764.000,8.000,8.000,4.000
unbuffered,187.912819,9852.000,9764.000,8.000,96.000,4.000
buffered,186.999640,100.000,9764.000,8.000,96.000,4.000
fallocate,6.193392,96.000,9764.000,8.000,96.000,4.000
smartfiles,17.262262,96.000,9764.000,8.000,96.000,4.000
unbuffered,208.547786,10736.000,9764.000,8.000,980.000,4.000
buffered,216.451410,984.000,9764.000,8.000,980.000,4.000
fallocate,25.984005,980.000,9764.000,8.000,980.000,4.000
smartfiles,73.243408,980.000,9764.000,8.000,980.000,4.000
unbuffered,44.972291,19524.000,9764.000,8.000,9768.000,4.000
buffered,39.500350,9772.000,9764.000,8.000,9768.000,4.000
fallocate,24.873122,9768.000,9764.000,8.000,9768.000,4.000
smartfiles,140.268760,9768.000,9764.000,8.000,9768.000,4.000
unbuffered,231.052942,107416.000,9764.000,8.000,97660.000,4.000
buffered,197.906617,97664.000,9764.000,8.000,97660.000,4.000
fallocate,202.175367,97660.000,9764.000,8.000,97660.000,4.000
smartfiles,1584.659385,97660.000,9764.000,8.000,97660.000,4.000
unbuffered,9132.253549,986332.000,9764.000,8.000,976576.000,4.000
buffered,3346.514508,976580.000,9764.000,8.000,976576.000,4.000
fallocate,11808.183934,976576.000,9764.000,8.000,976576.000,4.000
smartfiles,18798.843996,976576.000,9764.000,8.000,976576.000,4.000
unbuffered,23.338335,9672.000,9764.000,96.000,4.000,4.000
buffered,20.567674,8.000,9764.000,96.000,4.000,4.000
fallocate,3.745528,4.000,9764.000,96.000,4.000,4.000
smartfiles,17.332322,4.000,9764.000,96.000,4.000,4.000
unbuffered,21.543182,9672.000,9764.000,96.000,4.000,4.000
buffered,20.085606,8.000,9764.000,96.000,4.000,4.000
fallocate,3.571339,4.000,9764.000,96.000,4.000,4.000
smartfiles,2.395311,4.000,9764.000,96.000,4.000,4.000
unbuffered,23.152910,9672.000,9764.000,96.000,4.000,4.000
buffered,20.253656,8.000,9764.000,96.000,4.000,4.000
fallocate,3.604690,4.000,9764.000,96.000,4.000,4.000
smartfiles,2.292226,4.000,9764.000,96.000,4.000,4.000
unbuffered,38.243324,9676.000,9764.000,96.000,8.000,4.000
buffered,20.059958,12.000,9764.000,96.000,8.000,4.000
fallocate,3.148393,8.000,9764.000,96.000,8.000,4.000
smartfiles,2.050055,8.000,9764.000,96.000,8.000,4.000
unbuffered,21.835603,9764.000,9764.000,96.000,96.000,4.000
buffered,20.507706,100.000,9764.000,96.000,96.000,4.000
fallocate,4.079493,96.000,9764.000,96.000,96.000,4.000
smartfiles,2.765737,96.000,9764.000,96.000,96.000,4.000
unbuffered,25.218469,10648.000,9764.000,96.000,980.000,4.000
buffered,22.540820,984.000,9764.000,96.000,980.000,4.000
fallocate,7.540620,980.000,9764.000,96.000,980.000,4.000
smartfiles,14.535802,980.000,9764.000,96.000,980.000,4.000
unbuffered,46.151103,19436.000,9764.000,96.000,9768.000,4.000
buffered,39.808557,9772.000,9764.000,96.000,9768.000,4.000
fallocate,23.791701,9768.000,9764.000,96.000,9768.000,4.000
smartfiles,142.912217,9768.000,9764.000,96.000,9768.000,4.000
unbuffered,203.181898,107328.000,9764.000,96.000,97660.000,4.000
buffered,220.757542,97664.000,9764.000,96.000,97660.000,4.000
fallocate,192.738720,97660.000,9764.000,96.000,97660.000,4.000
smartfiles,1584.608047,97660.000,9764.000,96.000,97660.000,4.000
unbuffered,6366.918411,986244.000,9764.000,96.000,976576.000,4.000
buffered,8167.910884,976580.000,9764.000,96.000,976576.000,4.000
fallocate,7243.525703,976576.000,9764.000,96.000,976576.000,4.000
smartfiles,18201.155210,976576.000,9764.000,96.000,976576.000,4.000
unbuffered,153.604648,8788.000,9764.000,980.000,4.000,4.000
buffered,153.821080,8.000,9764.000,980.000,4.000,4.000
fallocate,3.739498,4.000,9764.000,980.000,4.000,4.000
smartfiles,2.136985,4.000,9764.000,980.000,4.000,4.000
unbuffered,164.395479,8788.000,9764.000,980.000,4.000,4.000
buffered,167.450288,8.000,9764.000,980.000,4.000,4.000
fallocate,3.515253,4.000,9764.000,980.000,4.000,4.000
smartfiles,1.949254,4.000,9764.000,980.000,4.000,4.000
unbuffered,202.556425,8788.000,9764.000,980.000,4.000,4.000
buffered,169.707642,8.000,9764.000,980.000,4.000,4.000
fallocate,4.351060,4.000,9764.000,980.000,4.000,4.000
smartfiles,2.548694,4.000,9764.000,980.000,4.000,4.000
unbuffered,171.785906,8792.000,9764.000,980.000,8.000,4.000
buffered,188.203114,12.000,9764.000,980.000,8.000,4.000
fallocate,4.487035,8.000,9764.000,980.000,8.000,4.000
smartfiles,26.021575,8.000,9764.000,980.000,8.000,4.000
unbuffered,199.185776,8880.000,9764.000,980.000,96.000,4.000
buffered,199.433268,100.000,9764.000,980.000,96.000,4.000
fallocate,18.321668,96.000,9764.000,980.000,96.000,4.000
smartfiles,4.020317,96.000,9764.000,980.000,96.000,4.000
unbuffered,189.574466,9764.000,9764.000,980.000,980.000,4.000
buffered,179.390700,984.000,9764.000,980.000,980.000,4.000
fallocate,23.528346,980.000,9764.000,980.000,980.000,4.000
smartfiles,49.217208,980.000,9764.000,980.000,980.000,4.000
unbuffered,351.026779,18552.000,9764.000,980.000,9768.000,4.000
buffered,339.218063,9772.000,9764.000,980.000,9768.000,4.000
fallocate,231.092294,9768.000,9764.000,980.000,9768.000,4.000
smartfiles,513.865760,9768.000,9764.000,980.000,9768.000,4.000
unbuffered,771.090092,106444.000,9764.000,980.000,97660.000,4.000
buffered,229.139193,97664.000,9764.000,980.000,97660.000,4.000
fallocate,238.838968,97660.000,9764.000,980.000,97660.000,4.000
smartfiles,1532.408860,97660.000,9764.000,980.000,97660.000,4.000
unbuffered,6071.941863,985360.000,9764.000,980.000,976576.000,4.000
buffered,4683.166985,976580.000,9764.000,980.000,976576.000,4.000
fallocate,1853.779133,976576.000,9764.000,980.000,976576.000,4.000
smartfiles,30587.782616,976576.000,9764.000,980.000,976576.000,4.000
unbuffered,1791.239143,97656.000,97656.000,4.000,4.000,4.000
buffered,1670.010507,8.000,97656.000,4.000,4.000,4.000
fallocate,39.926697,4.000,97656.000,4.000,4.000,4.000
smartfiles,2.843804,4.000,97656.000,4.000,4.000,4.000
unbuffered,202.076855,97656.000,97656.000,4.000,4.000,4.000
buffered,1607.101659,8.000,97656.000,4.000,4.000,4.000
fallocate,27.885500,4.000,97656.000,4.000,4.000,4.000
smartfiles,17.004734,4.000,97656.000,4.000,4.000,4.000
unbuffered,645.263190,97656.000,97656.000,4.000,4.000,4.000
buffered,194.482214,8.000,97656.000,4.000,4.000,4.000
fallocate,20.404541,4.000,97656.000,4.000,4.000,4.000
smartfiles,2.077887,4.000,97656.000,4.000,4.000,4.000
unbuffered,216.234776,97660.000,97656.000,4.000,8.000,4.000
buffered,180.910617,12.000,97656.000,4.000,8.000,4.000
fallocate,21.909237,8.000,97656.000,4.000,8.000,4.000
smartfiles,2.116657,8.000,97656.000,4.000,8.000,4.000
unbuffered,1724.619655,97748.000,97656.000,4.000,96.000,4.000
buffered,2076.443035,100.000,97656.000,4.000,96.000,4.000
fallocate,22.428302,96.000,97656.000,4.000,96.000,4.000
smartfiles,3.327577,96.000,97656.000,4.000,96.000,4.000
unbuffered,7625.367471,98632.000,97656.000,4.000,980.000,4.000
buffered,230.870084,984.000,97656.000,4.000,980.000,4.000
fallocate,25.620818,980.000,97656.000,4.000,980.000,4.000
smartfiles,16.135130,980.000,97656.000,4.000,980.000,4.000
unbuffered,242.077010,107420.000,97656.000,4.000,9768.000,4.000
buffered,221.461811,9772.000,97656.000,4.000,9768.000,4.000
fallocate,42.374910,9768.000,97656.000,4.000,9768.000,4.000
smartfiles,164.922074,9768.000,97656.000,4.000,9768.000,4.000
unbuffered,3748.856539,195312.000,97656.000,4.000,97660.000,4.000
buffered,3671.143292,97664.000,97656.000,4.000,97660.000,4.000
fallocate,274.555297,97660.000,97656.000,4.000,97660.000,4.000
smartfiles,1592.004569,97660.000,97656.000,4.000,97660.000,4.000
unbuffered,1967.632545,1074228.000,97656.000,4.000,976576.000,4.000
buffered,7717.653730,976580.000,97656.000,4.000,976576.000,4.000
fallocate,1860.611348,976576.000,97656.000,4.000,976576.000,4.000
smartfiles,18635.215143,976576.000,97656.000,4.000,976576.000,4.000
unbuffered,212.780888,97656.000,97656.000,4.000,4.000,4.000
buffered,184.077474,8.000,97656.000,4.000,4.000,4.000
fallocate,21.664470,4.000,97656.000,4.000,4.000,4.000
smartfiles,2.901877,4.000,97656.000,4.000,4.000,4.000
unbuffered,1400.841660,97656.000,97656.000,4.000,4.000,4.000
buffered,2053.591460,8.000,97656.000,4.000,4.000,4.000
fallocate,22.080775,4.000,97656.000,4.000,4.000,4.000
smartfiles,1.957624,4.000,97656.000,4.000,4.000,4.000
unbuffered,204.643106,97656.000,97656.000,4.000,4.000,4.000
buffered,172.730255,8.000,97656.000,4.000,4.000,4.000
fallocate,21.700806,4.000,97656.000,4.000,4.000,4.000
smartfiles,2.018473,4.000,97656.000,4.000,4.000,4.000
unbuffered,1822.823847,97660.000,97656.000,4.000,8.000,4.000
buffered,2029.845262,12.000,97656.000,4.000,8.000,4.000
fallocate,25.871001,8.000,97656.000,4.000,8.000,4.000
smartfiles,2.612175,8.000,97656.000,4.000,8.000,4.000
unbuffered,219.243657,97748.000,97656.000,4.000,96.000,4.000
buffered,231.741811,100.000,97656.000,4.000,96.000,4.000
fallocate,22.217043,96.000,97656.000,4.000,96.000,4.000
smartfiles,17.102308,96.000,97656.000,4.000,96.000,4.000
unbuffered,1831.228926,98632.000,97656.000,4.000,980.000,4.000
buffered,1785.156174,984.000,97656.000,4.000,980.000,4.000
fallocate,24.119061,980.000,97656.000,4.000,980.000,4.000
smartfiles,15.950118,980.000,97656.000,4.000,980.000,4.000
unbuffered,226.832559,107420.000,97656.000,4.000,9768.000,4.000
buffered,204.215794,9772.000,97656.000,4.000,9768.000,4.000
fallocate,39.581986,9768.000,97656.000,4.000,9768.000,4.000
smartfiles,135.084430,9768.000,97656.000,4.000,9768.000,4.000
unbuffered,3416.821170,195312.000,97656.000,4.000,97660.000,4.000
buffered,3432.903480,97664.000,97656.000,4.000,97660.000,4.000
fallocate,403.212795,97660.000,97656.000,4.000,97660.000,4.000
smartfiles,1567.352282,97660.000,97656.000,4.000,97660.000,4.000
unbuffered,1929.312936,1074228.000,97656.000,4.000,976576.000,4.000
buffered,8570.835801,976580.000,97656.000,4.000,976576.000,4.000
fallocate,1879.973339,976576.000,97656.000,4.000,976576.000,4.000
smartfiles,19395.051871,976576.000,97656.000,4.000,976576.000,4.000
unbuffered,9109.561354,97652.000,97656.000,8.000,4.000,4.000
buffered,200.120709,8.000,97656.000,8.000,4.000,4.000
fallocate,24.132413,4.000,97656.000,8.000,4.000,4.000
smartfiles,2.170685,4.000,97656.000,8.000,4.000,4.000
unbuffered,204.877830,97652.000,97656.000,8.000,4.000,4.000
buffered,182.527136,8.000,97656.000,8.000,4.000,4.000
fallocate,23.248771,4.000,97656.000,8.000,4.000,4.000
smartfiles,2.365024,4.000,97656.000,8.000,4.000,4.000
unbuffered,1825.411374,97652.000,97656.000,8.000,4.000,4.000
buffered,1987.497380,8.000,97656.000,8.000,4.000,4.000
fallocate,31.342397,4.000,97656.000,8.000,4.000,4.000
smartfiles,2.070630,4.000,97656.000,8.000,4.000,4.000
unbuffered,239.024179,97656.000,97656.000,8.000,8.000,4.000
buffered,198.028373,12.000,97656.000,8.000,8.000,4.000
fallocate,22.435224,8.000,97656.000,8.000,8.000,4.000
smartfiles,20.172433,8.000,97656.000,8.000,8.000,4.000
unbuffered,1790.514100,97744.000,97656.000,8.000,96.000,4.000
buffered,1965.565403,100.000,97656.000,8.000,96.000,4.000
fallocate,23.255548,96.000,97656.000,8.000,96.000,4.000
smartfiles,3.071253,96.000,97656.000,8.000,96.000,4.000
unbuffered,206.810348,98628.000,97656.000,8.000,980.000,4.000
buffered,195.121197,984.000,97656.000,8.000,980.000,4.000
fallocate,26.915151,980.000,97656.000,8.000,980.000,4.000
smartfiles,15.524001,980.000,97656.000,8.000,980.000,4.000
unbuffered,648.440571,107416.000,97656.000,8.000,9768.000,4.000
buffered,1909.762997,9772.000,97656.000,8.000,9768.000,4.000
fallocate,196.956089,9768.000,97656.000,8.000,9768.000,4.000
smartfiles,529.752228,9768.000,97656.000,8.000,9768.000,4.000
unbuffered,407.582242,195308.000,97656.000,8.000,97660.000,4.000
buffered,398.826789,97664.000,97656.000,8.000,97660.000,4.000
fallocate,208.057402,97660.000,97656.000,8.000,97660.000,4.000
smartfiles,1639.148907,97660.000,97656.000,8.000,97660.000,4.000
unbuffered,6421.143635,1074224.000,97656.000,8.000,976576.000,4.000
buffered,2079.209595,976580.000,97656.000,8.000,976576.000,4.000
fallocate,1904.676079,976576.000,97656.000,8.000,976576.000,4.000
smartfiles,35270.676031,976576.000,97656.000,8.000,976576.000,4.000
unbuffered,1649.330088,97564.000,97656.000,96.000,4.000,4.000
buffered,1821.535932,8.000,97656.000,96.000,4.000,4.000
fallocate,22.084585,4.000,97656.000,96.000,4.000,4.000
smartfiles,17.603996,4.000,97656.000,96.000,4.000,4.000
unbuffered,1897.519673,97564.000,97656.000,96.000,4.000,4.000
buffered,1654.309147,8.000,97656.000,96.000,4.000,4.000
fallocate,21.220968,4.000,97656.000,96.000,4.000,4.000
smartfiles,1.722835,4.000,97656.000,96.000,4.000,4.000
unbuffered,224.833423,97564.000,97656.000,96.000,4.000,4.000
buffered,199.012460,8.000,97656.000,96.000,4.000,4.000
fallocate,22.707606,4.000,97656.000,96.000,4.000,4.000
smartfiles,2.251624,4.000,97656.000,96.000,4.000,4.000
unbuffered,1877.832857,97568.000,97656.000,96.000,8.000,4.000
buffered,1843.764668,12.000,97656.000,96.000,8.000,4.000
fallocate,23.565372,8.000,97656.000,96.000,8.000,4.000
smartfiles,3.022372,8.000,97656.000,96.000,8.000,4.000
unbuffered,1878.496725,97656.000,97656.000,96.000,96.000,4.000
buffered,1835.142243,100.000,97656.000,96.000,96.000,4.000
fallocate,22.413198,96.000,97656.000,96.000,96.000,4.000
smartfiles,3.058142,96.000,97656.000,96.000,96.000,4.000
unbuffered,5690.825735,98540.000,97656.000,96.000,980.000,4.000
buffered,6869.861388,984.000,97656.000,96.000,980.000,4.000
fallocate,216.561931,980.000,97656.000,96.000,980.000,4.000
smartfiles,16.892153,980.000,97656.000,96.000,980.000,4.000
unbuffered,253.134325,107328.000,97656.000,96.000,9768.000,4.000
buffered,232.589748,9772.000,97656.000,96.000,9768.000,4.000
fallocate,41.831222,9768.000,97656.000,96.000,9768.000,4.000
smartfiles,146.685962,9768.000,97656.000,96.000,9768.000,4.000
unbuffered,398.885373,195220.000,97656.000,96.000,97660.000,4.000
buffered,377.118635,97664.000,97656.000,96.000,97660.000,4.000
fallocate,197.886926,97660.000,97656.000,96.000,97660.000,4.000
smartfiles,1557.931339,97660.000,97656.000,96.000,97660.000,4.000
unbuffered,6220.113315,1074136.000,97656.000,96.000,976576.000,4.000
buffered,1979.165094,976580.000,97656.000,96.000,976576.000,4.000
fallocate,1855.074258,976576.000,97656.000,96.000,976576.000,4.000
smartfiles,30226.499232,976576.000,97656.000,96.000,976576.000,4.000
unbuffered,210.708884,96680.000,97656.000,980.000,4.000,4.000
buffered,1418.344631,8.000,97656.000,980.000,4.000,4.000
fallocate,26.749566,4.000,97656.000,980.000,4.000,4.000
smartfiles,2.532377,4.000,97656.000,980.000,4.000,4.000
unbuffered,876.958702,96680.000,97656.000,980.000,4.000,4.000
buffered,183.937639,8.000,97656.000,980.000,4.000,4.000
fallocate,22.637759,4.000,97656.000,980.000,4.000,4.000
smartfiles,1.975702,4.000,97656.000,980.000,4.000,4.000
unbuffered,203.509867,96680.000,97656.000,980.000,4.000,4.000
buffered,166.218385,8.000,97656.000,980.000,4.000,4.000
fallocate,23.619287,4.000,97656.000,980.000,4.000,4.000
smartfiles,2.131892,4.000,97656.000,980.000,4.000,4.000
unbuffered,1848.703685,96684.000,97656.000,980.000,8.000,4.000
buffered,267.181770,12.000,97656.000,980.000,8.000,4.000
fallocate,23.119909,8.000,97656.000,980.000,8.000,4.000
smartfiles,2.076895,8.000,97656.000,980.000,8.000,4.000
unbuffered,202.139175,96772.000,97656.000,980.000,96.000,4.000
buffered,182.576162,100.000,97656.000,980.000,96.000,4.000
fallocate,23.106740,96.000,97656.000,980.000,96.000,4.000
smartfiles,18.881454,96.000,97656.000,980.000,96.000,4.000
unbuffered,2168.613884,97656.000,97656.000,980.000,980.000,4.000
buffered,1781.539009,984.000,97656.000,980.000,980.000,4.000
fallocate,129.756536,980.000,97656.000,980.000,980.000,4.000
smartfiles,16.040588,980.000,97656.000,980.000,980.000,4.000
unbuffered,231.142794,106444.000,97656.000,980.000,9768.000,4.000
buffered,229.563152,9772.000,97656.000,980.000,9768.000,4.000
fallocate,42.462152,9768.000,97656.000,980.000,9768.000,4.000
smartfiles,247.682684,9768.000,97656.000,980.000,9768.000,4.000
unbuffered,3933.354729,194336.000,97656.000,980.000,97660.000,4.000
buffered,2859.272967,97664.000,97656.000,980.000,97660.000,4.000
fallocate,240.383266,97660.000,97656.000,980.000,97660.000,4.000
smartfiles,1621.380841,97660.000,97656.000,980.000,97660.000,4.000
unbuffered,2010.341808,1073252.000,97656.000,980.000,976576.000,4.000
buffered,6935.578613,976580.000,97656.000,980.000,976576.000,4.000
fallocate,1946.481451,976576.000,97656.000,980.000,976576.000,4.000
smartfiles,31252.955663,976576.000,97656.000,980.000,976576.000,4.000
unbuffered,1570.293564,87892.000,97656.000,9768.000,4.000,4.000
buffered,1517.416826,8.000,97656.000,9768.000,4.000,4.000
